timestamp,positive,negative
2014/5/16:17,0.166924264,-0.323420931
2014/5/16:18,0.156326246,-0.337526875
2014/5/16:19,0.16006499,-0.350448359
2014/5/16:20,0.15988921,-0.359096062
2014/5/16:21,0.160754103,-0.348988374
2014/5/16:22,0.154805074,-0.346053052
2014/5/16:23,0.156264471,-0.336016893
2014/5/17:0,0.152585335,-0.356577063
2014/5/17:1,0.159391275,-0.347801916
2014/5/17:2,0.156632388,-0.346826323
2014/5/17:3,0.163828338,-0.357946818
2014/5/17:4,0.155106543,-0.348264685
2014/5/17:5,0.158324918,-0.364515824
2014/5/17:6,0.159835066,-0.350060661
2014/5/17:7,0.165230963,-0.363835375
2014/5/17:8,0.156405557,-0.335963822
2014/5/17:9,0.139151003,-0.319703774
2014/5/17:10,0.159976443,-0.386294942
2014/5/17:11,0.175491632,-0.372177935
2014/5/17:12,0.179927883,-0.3212397
2014/5/17:13,0.173098788,-0.355056714
2014/5/17:14,0.171063105,-0.330063518
2014/5/17:15,0.173504386,-0.341529922
2014/5/17:16,0.153065474,-0.358332654
2014/5/17:17,0.155802291,-0.339325444
2014/5/17:18,0.153481257,-0.339307826
2014/5/17:19,0.153424923,-0.346770269
2014/5/17:20,0.163569681,-0.347282254
2014/5/17:21,0.166998593,-0.342439892
2014/5/17:22,0.167406558,-0.349454314
2014/5/17:23,0.152265883,-0.342401068
2014/5/18:0,0.154715273,-0.342352965
2014/5/18:1,0.152705013,-0.347228063
2014/5/18:2,0.167152509,-0.34885855
2014/5/18:3,0.166604752,-0.356787612
2014/5/18:4,0.158021521,-0.37049999
2014/5/18:5,0.164683984,-0.353968498
2014/5/18:6,0.152731207,-0.342882474
2014/5/18:7,0.148693162,-0.344364318
2014/5/18:8,0.158534585,-0.356737705
2014/5/18:9,0.137732286,-0.344541982
2014/5/18:10,0.159297845,-0.332883626
2014/5/18:11,0.154036377,-0.320973733
2014/5/18:12,0.162432465,-0.302884189
2014/5/18:13,0.189172032,-0.330000438
2014/5/18:14,0.174126256,-0.354781672
2014/5/18:15,0.168857299,-0.319129315
2014/5/18:16,0.172744381,-0.323272242
2014/5/18:17,0.16539823,-0.332088104
2014/5/18:18,0.157682176,-0.315654839
2014/5/18:19,0.15507801,-0.332593715
2014/5/18:20,0.158214309,-0.364582591
2014/5/18:21,0.169186042,-0.365847489
2014/5/18:22,0.161736934,-0.338947806
2014/5/18:23,0.158803296,-0.336728126
2014/5/19:0,0.165653119,-0.353373878
2014/5/19:1,0.168762087,-0.358412543
2014/5/19:2,0.177368106,-0.362125469
2014/5/19:3,0.164519465,-0.354438834
2014/5/19:4,0.157184535,-0.340129477
2014/5/19:5,0.157857671,-0.330535997
2014/5/19:6,0.150227793,-0.350884098
2014/5/19:7,0.159976687,-0.343633952
2014/5/19:8,0.168275853,-0.317983616
2014/5/19:9,0.152087094,-0.358789646
2014/5/19:10,0.159882683,-0.324422458
2014/5/19:11,0.165258197,-0.317484769
2014/5/19:12,0.162869904,-0.330315818
2014/5/19:13,0.178275289,-0.329886794
2014/5/19:14,0.17172905,-0.341334952
2014/5/19:15,0.178852333,-0.336530568
2014/5/19:16,0.170956315,-0.336625638
2014/5/19:17,0.160140043,-0.325415606
2014/5/19:18,0.165622198,-0.337089275
2014/5/19:19,0.162074319,-0.332401443
2014/5/19:20,0.15626665,-0.356911557
2014/5/19:21,0.150498562,-0.335218484
2014/5/19:22,0.157568967,-0.343806174
2014/5/19:23,0.164222556,-0.337558416
2014/5/20:0,0.162090513,-0.3451685
2014/5/20:1,0.168221022,-0.342205034
2014/5/20:2,0.164392126,-0.34481136
2014/5/20:3,0.158834244,-0.341336321
2014/5/20:4,0.164295563,-0.331662162
2014/5/20:5,0.169152887,-0.315571544
2014/5/20:6,0.158764729,-0.341603545
2014/5/20:7,0.17089617,-0.371775566
2014/5/20:8,0.146110109,-0.32716843
2014/5/20:9,0.154207881,-0.291715699
2014/5/20:10,0.140302336,-0.362516464
2014/5/20:11,0.19319599,-0.336593261
2014/5/20:12,0.182737484,-0.342498903
2014/5/20:13,0.180088381,-0.338076863
2014/5/20:14,0.163070139,-0.324289747
2014/5/20:15,0.16802749,-0.344159708
2014/5/20:16,0.171598414,-0.345410303
2014/5/20:17,0.159741798,-0.346209397
2014/5/20:18,0.165953704,-0.359617681
2014/5/20:19,0.158878759,-0.332825085
2014/5/20:20,0.173186872,-0.359746512
2014/5/20:21,0.160578945,-0.322085084
2014/5/20:22,0.156145187,-0.340991313
2014/5/20:23,0.15405766,-0.364219013
2014/5/21:0,0.152516391,-0.34886381
2014/5/21:1,0.158656357,-0.353877864
2014/5/21:2,0.16176597,-0.350300203
2014/5/21:3,0.168304271,-0.35368006
2014/5/21:4,0.154768415,-0.346906342
2014/5/21:5,0.167659912,-0.325469147
2014/5/21:6,0.16538818,-0.339626591
2014/5/21:7,0.153488451,-0.337223894
2014/5/21:8,0.157797997,-0.380067101
2014/5/21:9,0.153282701,-0.382612311
2014/5/21:10,0.174027533,-0.313723495
2014/5/21:11,0.213206745,-0.325446797
2014/5/21:12,0.166472702,-0.322689183
2014/5/21:13,0.172186487,-0.315758763
2014/5/21:14,0.175827221,-0.319931062
2014/5/21:15,0.174375395,-0.328683498
2014/5/21:16,0.166783077,-0.340897479
2014/5/21:17,0.16711553,-0.339285499
2014/5/21:18,0.166201846,-0.327162327
2014/5/21:19,0.160010591,-0.352025679
2014/5/21:20,0.157601967,-0.348507004
2014/5/21:21,0.165637095,-0.355209938
2014/5/21:22,0.162700255,-0.341865136
2014/5/21:23,0.155962921,-0.346182386
2014/5/22:0,0.147130048,-0.35003089
2014/5/22:1,0.156931769,-0.340646764
